longitude,latitude,light_intensity,geometry,index_right,quadkey,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,light_intensity_category,avg_d_kbps_category,avg_u_kbps_category
51.63333519,25.89999961,0,POINT (51.633335186400025 25.8999996072),3272491,1.23E+15,730,960,533,1,1,Low,slow,slow
51.65000185,25.89999961,0,POINT (51.65000185320002 25.8999996072),3272492,1.23E+15,6667,20907,82,1,1,Low,slow,slow
51.67500185,25.89999961,0,POINT (51.675001853400026 25.8999996072),3272493,1.23E+15,2312,914,531,1,1,Low,slow,slow
51.67916852,25.89999961,0,POINT (51.67916852010002 25.8999996072),3272493,1.23E+15,2312,914,531,1,1,Low,slow,slow
51.64166852,25.89583294,0,POINT (51.64166851980002 25.8958329405),3272494,1.23E+15,35828,4943,659,7,3,Low,slow,slow
51.64583519,25.89583294,0,POINT (51.64583518650002 25.8958329405),3272494,1.23E+15,35828,4943,659,7,3,Low,slow,slow
51.65000185,25.89583294,0,POINT (51.65000185320002 25.8958329405),3272495,1.23E+15,47906,4536,700,5,2,Low,slow,slow
56.05000189,25.89583294,0,POINT (56.050001888400026 25.8958329405),3274743,1.23E+15,51673,43620,8,2,1,Low,moderate,slow
56.05416856,25.89583294,169,POINT (56.05416855510002 25.8958329405),3274753,1.23E+15,294668,141569,8,11,5,High,fast,moderate
56.05833522,25.89583294,169,POINT (56.05833522180002 25.8958329405),3274754,1.23E+15,266367,223505,6,27,6,High,fast,fast
56.06250189,25.89583294,169,POINT (56.06250188850002 25.8958329405),3274754,1.23E+15,266367,223505,6,27,6,High,fast,fast
56.03750189,25.89166627,0,POINT (56.03750188830002 25.8916662738),3274742,1.23E+15,265206,93131,6,6,2,Low,fast,moderate
56.04166856,25.89166627,173,POINT (56.04166855500002 25.8916662738),3274744,1.23E+15,113207,145535,6,10,3,High,moderate,moderate
56.04583522,25.89166627,0,POINT (56.04583522170002 25.8916662738),3274744,1.23E+15,113207,145535,6,10,3,Low,moderate,moderate
56.05000189,25.89166627,0,POINT (56.050001888400026 25.8916662738),3274745,1.23E+15,243206,119770,5,15,4,Low,fast,moderate
56.05416856,25.89166627,170,POINT (56.05416855510002 25.8916662738),3274755,1.23E+15,192009,185746,6,5,2,High,fast,fast
